season,week,contestant,fan_vote_estimate,lower_bound,upper_bound,certainty,method
1,2,Trista Sutter,0.6666666666666666,0.0,1.0,1.0,rank_milp
1,2,Kelly Monaco,0.8333333333333334,0.0,1.0,1.0,rank_milp
1,2,Rachel Hunter,0.3333333333333333,0.0,1.0,1.0,rank_milp
1,2,Joey McIntyre,0.5,0.0,1.0,1.0,rank_milp
1,2,Evander Holyfield,1.0,0.0,1.0,1.0,rank_milp
1,2,John O'Hurley,0.16666666666666666,0.0,1.0,1.0,rank_milp
1,3,Kelly Monaco,1.0,0.0,1.0,1.0,rank_milp
1,3,Rachel Hunter,0.8,0.0,1.0,1.0,rank_milp
1,3,Joey McIntyre,0.6,0.0,1.0,1.0,rank_milp
1,3,Evander Holyfield,0.4,0.0,1.0,1.0,rank_milp
1,3,John O'Hurley,0.2,0.0,1.0,1.0,rank_milp
1,4,Kelly Monaco,1.0,0.0,1.0,1.0,rank_milp
1,4,Rachel Hunter,0.25,0.0,1.0,1.0,rank_milp
1,4,Joey McIntyre,0.75,0.0,1.0,1.0,rank_milp
1,4,John O'Hurley,0.5,0.0,1.0,1.0,rank_milp
2,1,Tia Carrere,0.1,0.0,1.0,1.0,rank_milp
2,1,Lisa Rinna,0.4,0.0,1.0,1.0,rank_milp
2,1,Jerry Rice,0.6,0.0,1.0,1.0,rank_milp
2,1,Tatum O'Neal,0.9,0.0,1.0,1.0,rank_milp
2,1,Master P,0.5,0.0,1.0,1.0,rank_milp
2,1,Stacy Keibler,0.7,0.0,1.0,1.0,rank_milp
2,1,Drew Lachey,1.0,0.0,1.0,1.0,rank_milp
2,1,Giselle Fernandez,0.8,0.0,1.0,1.0,rank_milp
2,1,Kenny Mayne,0.2,0.0,1.0,1.0,rank_milp
2,1,George Hamilton,0.3,0.0,1.0,1.0,rank_milp
2,2,Tia Carrere,0.1111111111111111,0.0,1.0,1.0,rank_milp
2,2,Lisa Rinna,0.3333333333333333,0.0,1.0,1.0,rank_milp
2,2,Jerry Rice,0.6666666666666666,0.0,1.0,1.0,rank_milp
2,2,Tatum O'Neal,0.2222222222222222,0.0,1.0,1.0,rank_milp
2,2,Master P,0.5555555555555556,0.0,1.0,1.0,rank_milp
2,2,Stacy Keibler,1.0,0.0,1.0,1.0,rank_milp
2,2,Drew Lachey,0.8888888888888888,0.0,1.0,1.0,rank_milp
2,2,Giselle Fernandez,0.7777777777777778,0.0,1.0,1.0,rank_milp
2,2,George Hamilton,0.4444444444444444,0.0,1.0,1.0,rank_milp
2,3,Tia Carrere,1.0,0.0,1.0,1.0,rank_milp
2,3,Lisa Rinna,0.875,0.0,1.0,1.0,rank_milp
2,3,Jerry Rice,0.75,0.0,1.0,1.0,rank_milp
