season,week,contestant,voting_method,p_wrongful,p_correct,ci_lower,ci_upper,n_samples,wrongful_count,correct_count,classification,fan_vote_lower,fan_vote_upper,fan_vote_mean,fan_vote_median
25,2,Barbara Corcoran,percent,0.6724,0.3276,0.6592625765504871,0.6852727100980751,5000,3362,1638,Uncertain,0.009999000000000001,0.09743008744667883,0.048888834260851374,0.04668819282571593
25,2,Debbie Gibson,percent,0.875,0.125,0.8655440387249156,0.8838801636718989,5000,4375,625,Uncertain,0.009999000000000001,0.0856994354052407,0.04643920802756336,0.04545565419545047
25,4,Derek Fisher,percent,0.786,0.214,0.7744145376007392,0.7971463207605647,5000,3930,1070,Uncertain,0.009999000000000001,0.09694751492787655,0.05304867052153288,0.05241847132960199
25,5,Sasha Pieterse,percent,0.7592,0.2408,0.7471522718948636,0.7708497368018146,5000,3796,1204,Uncertain,0.009999000000000001,0.1080461770114943,0.05863437945035605,0.05792563309269075
25,6,Nick Lachey,percent,0.5802,0.4198,0.5664636975320222,0.59381315855391,5000,2901,2099,Uncertain,0.009999000000000001,0.13725512418300653,0.0695970916508346,0.06673456261592137
25,7,Nikki Bella,percent,0.7122,0.2878,0.6994916073114736,0.7245825680181373,5000,3561,1439,Uncertain,0.009999000000000001,0.15471789368770766,0.0853913183599143,0.08456266469375205
25,7,Vanessa Lachey,percent,0.8288,0.1712,0.8181073893032087,0.8389877513583182,5000,4144,856,Uncertain,0.009999000000000001,0.1427577607973422,0.08229355176039051,0.08296003408878021
25,8,Terrell Owens,percent,0.6964,0.3036,0.6835078816944705,0.7089905539074878,5000,3482,1518,Uncertain,0.009999000000000001,0.17039436954206605,0.1030052182422959,0.10466744379165388
25,9,Victoria Arlen,percent,0.6828,0.3172,0.669764005299867,0.6955553125618334,5000,3414,1586,Uncertain,0.009999000000000001,0.1925929925925926,0.12458951679580907,0.12863849564738575
25,10,Drew Scott,percent,0.4846,0.5154,0.4707644189805364,0.49845922710770113,5000,2423,2577,Uncertain,0.009999000000000001,0.2602133542535362,0.16822140218091575,0.17304015066220169
26,1,Jamie Anderson,percent,0.7822,0.2178,0.7705448208205953,0.7934218722897542,5000,3911,1089,Uncertain,0.009999000000000001,0.12111133333333336,0.06361805990485496,0.062095735231796484
26,1,Johnny Damon,percent,0.7284,0.2716,0.7158993333380734,0.7405499675350797,5000,3642,1358,Uncertain,0.009999000000000001,0.12534413756613758,0.06489530712926117,0.06291975963722714
26,2,Kareem Abdul-Jabbar,percent,0.6806,0.3194,0.6675419363313745,0.6933807595429314,5000,3403,1597,Uncertain,0.009999000000000001,0.15531403738317756,0.0838662871126836,0.08329025314886593
26,2,Arike Ogunbowale,percent,0.8608,0.1392,0.8509277576847214,0.8701182482480005,5000,4304,696,Uncertain,0.009999000000000001,0.13769053938584783,0.08022175429049994,0.08207362260532566
26,3,Jennie Finch Daigle,percent,0.6336,0.3664,0.6201467806991917,0.6468480818080468,5000,3168,1832,Uncertain,0.009999000000000001,0.27699102132701414,0.1384476505916753,0.13385708375228833
26,3,Chris Mazdzer,percent,0.7822,0.2178,0.7705448208205953,0.7934218722897542,5000,3911,1089,Uncertain,0.009999000000000001,0.2627730118483412,0.14079957006521346,0.138216890106643
26,3,Mirai Nagasu,percent,0.8312,0.1688,0.8205639057333907,0.841327549823476,5000,4156,844,Uncertain,0.009999000000000001,0.2556640071090047,0.14120616564013722,0.14204691998863156
27,1,Nikki Glaser,percent,0.794,0.206,0.7825660779184023,0.8049824967607004,5000,3970,1030,Uncertain,0.009999000000000001,0.08521885671191556,0.04559854597139597,0.044451270048717795
27,2,Danelle Umstead,percent,0.7042,0.2958,0.691396309861621,0.716690149150191,5000,3521,1479,Uncertain,0.009999000000000001,0.09827496642020947,0.050531643361228396,0.04876799173655302
27,3,Nancy McKeon,percent,0.7516,0.2484,0.7394330943852463,0.7633805838095231,5000,3758,1242,Uncertain,0.009999000000000001,0.10063755182824557,0.05322357896223973,0.0518862381505458
27,4,Tinashe,percent,0.8754,0.1246,0.8659562982401019,0.8842672899726025,5000,4377,623,Uncertain,0.009999000000000001,0.0879312344827586,0.052519802561206586,0.053194397033248506
27,6,Mary Lou Retton,percent,0.7724,0.2276,0.7605715182542049,0.7838102223668412,5000,3862,1138,Uncertain,0.009999000000000001,0.11741895099466276,0.06530192100466281,0.06515553929931436
27,7,John Schneider,percent,0.8078,0.1922,0.796643391503672,0.8184839938236333,5000,4039,961,Uncertain,0.009999000000000001,0.14274248604269293,0.08133850639687171,0.082067367573444
27,7,DeMarcus Ware,percent,0.7892,0.2108,0.7776743685279063,0.8002815763605172,5000,3946,1054,Uncertain,0.009999000000000001,0.14471292939244662,0.08275292575127655,0.0832247379669116
27,8,Juan Pablo Di Pace,percent,0.887,0.113,0.8779257229090438,0.8954800539644687,5000,4435,565,Uncertain,0.009999000000000001,0.18309356770186333,0.11649241210973842,0.12000942393063738
27,8,Joe Amabile,percent,0.5764,0.4236,0.5626499333408851,0.5900327574940926,5000,2882,2118,Uncertain,0.009999000000000001,0.21787617639751553,0.12068272173511829,0.11980614244462298
28,2,Mary Wilson,rank,0.8898,0.1102,0.8808191448758257,0.8981823327089166,5000,4449,551,Uncertain,0.057499999999999996,0.9425,0.046175216101756504,0.045984889234037776
28,4,Lamar Odom,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.06,0.94,0.11967165332631981,0.07910342295323197
28,6,Sailor Brinkley-Cook,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.033333333333333326,0.9666666666666667,0.10247303005606904,0.09196649366044837
28,7,Karamo Brown,rank,0.8576,0.1424,0.8476387524969624,0.8670121669086399,5000,4288,712,Uncertain,0.05249999999999999,0.9475,0.1261672187269121,0.11193256163311563
28,8,Kate Flannery,rank,0.8928,0.1072,0.8839211994544246,0.9010756717494922,5000,4464,536,Uncertain,0.051428571428571435,0.9485714285714286,0.14087769474135756,0.12566147759360238
28,9,Sean Spicer,rank,0.4758,0.5242,0.4619808311998524,0.4896563269388066,5000,2379,2621,Uncertain,0.06,0.94,0.15316235989222926,0.13772183806225033
28,10,James Van Der Beek,rank,0.442,0.558,0.42828400971726943,0.45580504697869006,5000,2210,2790,Uncertain,0.06,0.94,0.19433068644832963,0.17995055004207317
29,2,Charles Oakley,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.057999999999999996,0.942,0.04370587853326299,0.04204530067020074
29,3,Carole Baskin,rank,0.9288,0.0712,0.9213378597500854,0.9356037348839255,5000,4644,356,Uncertain,0.06,0.94,0.04573668819944128,0.04540713581226066
29,4,Anne Heche,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.05769230769230771,0.9423076923076923,0.045663461054128766,0.045256502354014676
29,5,Jesse Metcalfe,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.057499999999999996,0.9425,0.06767103580166511,0.04603351879853415
29,6,Veron Davis,rank,0.999,0.001,0.9976610125116303,0.9995727928110643,5000,4995,5,Definite-Wrongful,0.05727272727272725,0.9427272727272727,0.11291799296281647,0.0735197983486941
29,7,Monica Aldama,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.06,0.94,0.05302791854598056,0.05063893061963276
29,8,Chrishell Stause,rank,0.8978,0.1022,0.8890959975065588,0.9058931963959821,5000,4489,511,Uncertain,0.048750000000000016,0.9512499999999999,0.12511511019532,0.11087786858528653
29,9,AJ McLean,rank,0.7428,0.2572,0.7305012800284584,0.7547259102167324,5000,3714,1286,Uncertain,0.055714285714285716,0.9442857142857143,0.14280483151556192,0.12816262995643052
29,10,Skai Jackson,rank,0.7634,0.2366,0.7514203163081683,0.7749752434553541,5000,3817,1183,Uncertain,0.05499999999999999,0.9450000000000001,0.1660942986440824,0.150325475213896
29,10,Johnny Weir,rank,0.8562,0.1438,0.8462003371404057,0.8656527319095819,5000,4281,719,Uncertain,0.04999999999999999,0.95,0.1652948495878681,0.15058255995730263
30,2,Martin Kove,rank,1.0,0.0,0.9992322698624194,1.0,5000,5000,0,Definite-Wrongful,0.06,0.94,0.3378566889593686,0.3417520314623104
